Volume,High,Low,Open,Close,Avg Price,New Avg
43257800,323.171283634363,315.5078797345754,316.7468014245228,317.0365600585937,,
36336800,315.91755515351207,311.64124426456783,313.48965629761443,314.58868408203125,,
60957600,328.44675508114506,317.0465830462295,317.34631234952286,327.2178039550781,,
62970600,334.3915986652446,326.50841333986017,327.72736328456057,332.97283935546875,,
63407100,334.7013154010385,328.7164869908464,331.693929977533,333.452392578125,325.0536560058593,325.05365600585935
53468000,333.4224228207836,323.4010672140761,333.2226134619852,326.3085632324219,326.908056640625,326.908056640625
41338900,329.3159936819017,321.94234806189104,322.85156758462244,327.45758056640625,329.4818359375,329.4818359375
38755900,328.7164973399543,323.0613709608057,327.58746619388995,325.60919189453125,329.1601135253906,329.1601135253906
40840800,323.0214140443725,319.0748358849152,321.4527900194849,321.3828430175781,326.8421142578125,326.8421142578125
47489400,334.0818750563203,321.3428614810286,321.5127284115298,332.7330322265625,326.6982421875,326.6982421875
49604300,339.277401491225,333.73216560461384,334.2517370375488,336.61968994140625,328.7604675292969,328.7604675292969
51859000,342.59453283396704,335.31080637618777,339.73698155301014,339.78692626953125,331.22633666992186,331.22633666992186
56090800,344.2730974331505,337.0593175600121,339.43727163464206,337.8985900878906,333.68421630859376,333.68421630859376
74817800,334.4615395264105,329.30598233808786,332.8129674612056,333.1426696777344,336.036181640625,336.036181640625
132489100,310.4222943774597,299.7415030462749,304.5473560391476,308.6438293457031,331.2183410644531,331.2183410644531
75052000,311.5313230344714,302.29929450581176,309.313234694189,303.1585693359375,324.5261169433594,324.5261169433594
68001000,310.1525156602479,301.0603512911937,302.46913991298527,309.1134033203125,318.39141235351565,318.39141235351565
49438800,311.4414048335362,305.406631186344,309.09342362565195,310.7320251464844,312.9580993652344,312.9580993652344
46139900,316.0174696892129,308.96355554648414,314.06913775687,312.14080810546875,308.7577270507812,308.7577270507812
34437200,314.53873325457766,310.47223295908327,311.1816431226555,313.0599975585937,309.6409606933594,309.6409606933594
44812500,308.260009765625,304.6099853515625,306.8299865722656,308.260009765625,310.6612487792969,310.6612487792969
37476700,309.9700012207031,302.7900085449219,307.75,304.9100036621094,309.82056884765626,309.82056884765626
41657800,305.6600036621094,300.57000732421875,305.1000061035156,302.25,308.12416381835936,308.12416381835936
40349300,306.0,302.04998779296875,304.2099914550781,305.260009765625,306.7480041503906,306.7480041503906
28229400,307.489990234375,304.29998779296875,306.0,305.92999267578125,305.32200317382814,305.32200317382814
38169300,307.6600036621094,302.94000244140625,306.2099914550781,305.5899963378906,304.7880004882812,304.7880004882812
53424500,311.489990234375,305.739990234375,307.5799865722656,310.0299987792969,305.81199951171874,305.81199951171874
50505600,319.2799987792969,309.6000061035156,310.1400146484375,316.8299865722656,308.7279968261719,308.7279968261719
40959200,320.2799987792969,310.6499938964844,317.4599914550781,311.29998779296875,309.9359924316406,309.9359924316406
46876800,312.3800048828125,307.010009765625,312.04998779296875,309.3500061035156,310.6199951171875,310.6199951171875
34673600,313.3599853515625,309.9700012207031,311.4700012207031,310.3399963378906,311.5699951171875,311.5699951171875
25869800,313.5899963378906,308.2099914550781,310.7900085449219,309.8999938964844,311.543994140625,311.543994140625
34024500,315.42999267578125,308.79998779296875,310.29998779296875,313.45001220703125,310.8679992675781,310.8679992675781
32419200,315.3999938964844,309.3999938964844,310.54998779296875,314.5799865722656,311.5239990234375,311.5239990234375
38649400,322.3699951171875,315.45001220703125,316.8500061035156,319.70001220703125,313.5940002441406,313.5940002441406
41242700,321.239990234375,312.79998779296875,319.6000061035156,316.8500061035156,314.8960021972656,314.8960021972656
53167400,327.29998779296875,314.7300109863281,316.9800109863281,325.1300048828125,317.94200439453124,317.94200439453124
33776400,328.3999938964844,323.5299987792969,326.8699951171875,324.9599914550781,320.24400024414064,320.24400024414064
37225800,330.8099975585937,324.1099853515625,324.8699951171875,328.2099914550781,322.9700012207031,322.9700012207031
39551800,328.92999267578125,317.8599853515625,328.3099975585937,319.9700012207031,323.0239990234375,323.0239990234375
